C++ Loop Execution time (ns),Java Loop Execution time (ns)
8054655,1058132
9239395,1207145
11550214,1411605
12452808,1611086
13967623,1856043
15611290,2171508
17536127,2465001
19513205,2850347
395,896
120384,11222
335056,28759
637767,51139
1041584,91672
1546657,144733
2134305,235536
2843705,326032
3676257,436216
4602190,559780
5593303,737615
6641188,871210
7850034,1044354
9196956,1225135
10691318,1458941
12055760,1599883
13761706,1848803
15536428,2188369
17665553,2582395
19532661,3062174
351,1375
120159,11214
339381,28583
640901,50248
1042189,89258
1529529,145438
2133717,241488
2844574,348033
3740035,435603
4585548,583731
5727050,711460
6637106,882881
7822753,1054478
9131949,1246288
10711161,1546295
12031913,1696889
13900126,1952082
15540443,2314208
17366457,2591267
19450416,3086607
375,861
120052,10935
332209,28323
641744,51286
1039686,89285
1539894,145328
2132624,238848
2850413,329924
3657867,427030
4623162,576807
5874240,723149
6667275,894195
8956647,1059136
10097541,1215766
10685559,1509202
12017052,1901896
13879507,1908425
15460287,2183788
17549497,2458151
19519458,3031756
425,866
123616,11302
306849,29017
567478,50431
935806,88284
1492080,142040
2127121,237027
2842821,346094
3672102,439866
4565104,572684
5584799,695942
6670854,866728
7884393,1037171
9243079,1247391
10956392,1479290
12092440,1664530
13808432,1877897
15683156,2171786
17578914,2543837
19887546,2958402
397,948
120426,11321
331580,30156
640506,50715
1038698,89387
1535851,145866
2133077,970117
2850477,320802
3667055,425548
4564511,565215
5585086,735066
6655684,887428
7865663,1065832
9150711,1202672
10751577,1414077
12123994,1640519
13886495,1836833
16203751,2203465
17548532,2461286
19911627,2890374
381,1270
120827,14216
334293,28331
639830,48413
1038077,87503
1536233,143430
2126527,234618
2850319,323862
3666230,436943
4561957,546512
5554830,753868
6678605,887919
7864754,1101244
9501484,1459733
10763767,1538867
12075812,2709379
13855961,2455021
15603258,2962086
19817209,3039675
20462692,4627218
395,4172
160971,13468
391044,36875
699526,62777
1095388,96102
1618529,154232
2214745,241459
2939147,392584
3748131,480783
4651075,637002
5766012,870219
6630520,963902
7843413,1160827
9124398,1472207
10642844,1854206
12334509,2121147
15497980,2598523
15469234,2595951
17332470,2963894
19548161,3070131
363,2217
122023,11147
335940,35198
640191,49528
1043856,92933
1532011,146243
2137184,239076
2854546,347947
3650964,445516
4626847,568768
5865801,736260
6629438,906105
7839770,1113524
9146552,1253260
10590502,1648747
12017689,2286656
13822466,1992367
15478304,2247013
17434609,2554602
19755405,2988446
330,1868
119071,11360
306412,29457
568613,49173
972818,88084
1490989,141735
2127164,246817
2842278,352997
3687411,427557
4686232,619265
5580307,716808
6684295,878349
7886061,1135130
9211828,1259772
10853576,1618913
12051164,1693459
13870744,1978013
15546031,2228008
17575125,2591794
19656739,3495266
387,1920
126056,11665
338347,30450
638959,52761
1043277,89745
1536083,143106
2133901,241793
2853209,332619
3679289,482019
4565439,553994
5570164,716140
6663842,1783858
9317499,1066704
9577294,1188547
11145367,1465457
12096431,1611527
14225288,1848455
15654422,2193016
17606484,2636269
19746552,2909782
385,947
120346,11785
330253,29553
643136,49284
1042005,89136
1536438,146836
2138404,255023
2856300,323105
3670572,429942
4553362,556251
5641247,764183
6648815,866539
7849305,1027683
9178315,1215987
10680782,1477649
12056456,1607950
13788274,1841868
15729797,2174551
17576935,2511979
19610772,2974355
396,2192
121150,10252
339049,24822
635308,55148
1036507,89543
1539544,153962
2132584,243029
2850047,327282
3663691,439717
4617513,565267
5627157,702599
6632395,876912
7850043,1030137
9126602,1247134
10671044,1495209
11997214,1709724
13867464,1935114
15603975,2240809
18021087,2497070
19457768,3033191
356,759
122112,11233
334416,28163
638435,54193
1038960,89015
1535933,145225
2131276,237943
2841706,328992
3641657,454563
4635624,564448
5902379,700372
6635291,876475
7844816,1022623
9116616,1238312
10530527,1527718
12032546,1696910
13852172,1947272
15565472,2218711
17217621,2526421
22200342,3002830
415,774
119873,11168
301491,28976
620139,50981
974495,88100
1537841,144511
2217184,235560
2923780,338160
3761567,432613
4783744,551196
5592899,717736
6681428,884661
7893751,1051242
9208947,1236825
10903240,1497608
12999084,1658151
14594000,1892651
15835726,2256999
17858980,2630849
19641448,2967174
382,915
118088,11571
339059,41401
635666,50657
1046252,86997
1537051,146257
2133248,235609
2855483,324748
3671273,437598
4570029,561168
5565280,726402
6637940,873421
7889219,1053613
9188458,1218525
10784300,2305159
12027881,1656294
13752881,1823558
15617801,2181176
17673692,2583887
19891152,2937079
373,1400
121790,11210
332743,29840
634704,49689
1038629,90006
1537948,142885
2129276,233794
2858042,324886
3667374,428609
4554809,560310
5576300,745978
6638214,883728
8150713,1031025
9145812,1202953
10760873,1509188
12051667,1641850
13797993,1835106
15613560,3315804
17548420,2630234
19723216,2888501
397,1374
122072,11235
335856,26145
634618,49380
1037562,87457
1534384,154875
2130966,251387
2844997,348662
3663780,440058
4578443,584130
5608689,735086
6639118,891314
7854306,1047187
9183613,1224360
13395673,1532904
12618931,1692304
14218128,2115699
15493025,2281368
17382481,2562047
19567048,3390649
414,1681
122329,11039
340976,26748
640251,49335
1044161,89648
1539138,167455
2132963,240306
2852109,338212
3653162,455841
4632538,565761
5874214,691102
6622649,877104
7855042,1038562
9144627,1280900
10572699,1528865
12293964,1739079
13855930,1978769
15571695,2259122
18130199,2474716
19395181,3000838
411,850
124067,11121
301061,30056
569261,49313
983471,89761
1495287,145155
2128862,245935
2835221,329809
3678311,457410
4578550,550174
5576024,709773
6658579,872882
7955266,1044417
9200695,1245488
10884379,1480250
12086932,1652177
13782605,1898722
15727799,2429420
17541592,2474236
19766735,3013087
413,824
118670,11191
338527,29690
640220,50274
1039011,93378
1540516,144618
2129527,236344
2857347,323444
3688615,449374
4568589,557581
5569604,719579
6658197,870431
7858189,1045610
9243009,1222902
10803601,1486127
12096787,3080637
13999002,1781751
15882709,2257836
18145671,2502404
21202840,2961034
376,1530
121126,11970
330520,29375
643891,49779
1038992,88484
1539442,153362
2135526,242493
2847601,327713
3996749,449198
5044364,556124
5884406,742352
7278503,868995
8995645,1021434
9527656,1222121
10749179,1460825
12094721,1610151
14846944,1824070
16422862,3078021
17499507,3289673
19592261,4071174
394,2105
120452,11451
337447,28293
636770,53755
1039780,95168
1531757,164696
2129969,240127
2843306,331853
3660185,482314
4570939,563646
5614699,859792
6634427,945412
7839318,1137078
9137951,1395985
10644028,1874263
12012564,1989654
13871780,2324239
15777761,2738151
17299536,2728095
19856265,3401359
368,3157
121222,10570
336578,24226
638382,51844
1040366,89643
1533914,144856
2138823,235859
2842000,326525
3654699,478333
4633197,569939
5877449,703049
6615528,875486
7830102,1035846
9540823,1276526
10703382,1624116
12002270,1977942
13827686,2074702
15528112,2249732
17452393,2576853
20307586,3146351
359,1261
123042,11489
307383,29033
572751,49516
923813,88996
1499414,147100
2127113,258388
2833195,325831
3687282,430926
4566118,565643
5583507,707298
6705144,871929
7926872,1045514
10898223,1321366
11502279,1456001
12115550,1669048
13903322,1921797
15616598,2272342
17511136,2562048
19638275,3058113
382,1330
122388,11145
336845,29907
636768,53106
1038236,89126
1529904,143489
2133732,249395
2867772,331456
3668471,436203
4602219,556002
5569298,722061
6649758,884680
7836057,1057566
9145507,1275651
10735637,1456582
12018716,1638891
13848223,1812535
15617399,3190345
17638778,2604589
19633399,2929267
401,843
121020,11360
337801,29431
635657,49930
1037478,93693
1541511,146624
2130035,238451
2851316,334161
3679081,429736
4625966,573370
5574642,720543
6649241,881283
7873671,1067309
9157307,1223216
10675278,1453293
12007752,1657084
13807125,1865650
15541579,2219235
18256976,2474338
19655052,2924861
362,1827
118430,11751
335197,30788
635249,49994
1040868,88323
1534747,149452
2132168,243064
2846804,332740
3660719,431541
4572113,564159
5602794,741458
6653307,892479
7886677,1063153
9149270,1223486
10848864,1480407
12036217,1720585
14608537,1939361
15616802,2407251
17333082,2592102
20870710,3130342
375,1140
121619,11284
343949,28904
693966,50774
1091301,88811
1543825,144701
2141636,244660
2857902,338769
3653769,440740
4638603,557457
5873260,698300
7035521,885350
8314579,1045227
9166106,1260235
10488198,1556182
12023596,1703398
13867904,1977965
16171743,2284831
18857360,2576012
19443974,3000852
385,819
119870,11005
301025,29029
578648,50033
923686,89828
1494703,144064
2158981,259614
2830226,336353
3664247,430225
4567015,557004
5590152,693963
6680671,892058
7903489,1035466
9186846,1236767
10914907,1525544
12050014,1711314
13798721,1865828
15673307,2279868
17547310,2493648
19835952,3111882
376,1469
118513,11208
333478,29965
637908,53666
1044086,92290
1536088,155650
2138311,237709
2842021,325846
3685817,434170
4569566,550529
5555379,714247
6653965,884984
7865219,1038469
9188081,1203251
10785784,1416264
12227312,1628238
